"Time","power consumption"
2022-09-05 20:04:45,15.9
2022-09-05 20:04:50,15.9
2022-09-05 20:04:55,16.5
2022-09-05 20:05:00,16.5
2022-09-05 20:05:05,16.5
2022-09-05 20:05:10,16.5
2022-09-05 20:05:15,15.5
2022-09-05 20:05:20,15.5
2022-09-05 20:05:25,15.5
2022-09-05 20:05:30,15.5
2022-09-05 20:05:35,29.6
2022-09-05 20:05:40,29.6
2022-09-05 20:05:45,29.6
2022-09-05 20:05:50,29.6
2022-09-05 20:05:55,25.9
2022-09-05 20:06:00,25.9
2022-09-05 20:06:05,25.9
2022-09-05 20:06:10,25.9
2022-09-05 20:06:15,25.1
2022-09-05 20:06:20,25.1
2022-09-05 20:06:25,25.1
2022-09-05 20:06:30,25.1
2022-09-05 20:06:35,25.4
2022-09-05 20:06:40,25.4
2022-09-05 20:06:45,25.4
2022-09-05 20:06:50,25.4
2022-09-05 20:06:55,29.3
2022-09-05 20:07:00,29.3
2022-09-05 20:07:05,30.5
2022-09-05 20:07:10,30.5
2022-09-05 20:07:15,26.2
2022-09-05 20:07:20,26.2
2022-09-05 20:07:25,26.2
2022-09-05 20:07:30,26.2
2022-09-05 20:07:35,29.0
2022-09-05 20:07:40,29.0
2022-09-05 20:07:45,29.0
2022-09-05 20:07:50,29.0
2022-09-05 20:07:55,30.0
2022-09-05 20:08:00,30.0
2022-09-05 20:08:05,30.0
2022-09-05 20:08:10,30.0
2022-09-05 20:08:15,29.9
2022-09-05 20:08:20,30.0
2022-09-05 20:08:25,30.0
2022-09-05 20:08:30,30.0
2022-09-05 20:08:35,27.6
2022-09-05 20:08:40,27.6
2022-09-05 20:08:45,27.6
2022-09-05 20:08:50,27.6
2022-09-05 20:08:55,27.5
2022-09-05 20:09:00,27.5
2022-09-05 20:09:05,27.5
2022-09-05 20:09:10,27.5
2022-09-05 20:09:15,29.6
2022-09-05 20:09:20,29.6
2022-09-05 20:09:25,29.6
2022-09-05 20:09:30,29.6
2022-09-05 20:09:35,29.2
2022-09-05 20:09:40,29.2
2022-09-05 20:09:45,29.5
2022-09-05 20:09:50,29.5
2022-09-05 20:09:55,29.5
2022-09-05 20:10:00,29.5
2022-09-05 20:10:05,29.5
2022-09-05 20:10:10,29.5
2022-09-05 20:10:15,29.1
2022-09-05 20:10:20,29.1
2022-09-05 20:10:25,29.1
2022-09-05 20:10:30,29.1
2022-09-05 20:10:35,29.8
2022-09-05 20:10:40,29.8
2022-09-05 20:10:45,29.8
2022-09-05 20:10:50,29.8
2022-09-05 20:10:55,31.1
2022-09-05 20:11:00,31.1
2022-09-05 20:11:05,31.1
2022-09-05 20:11:10,31.1
2022-09-05 20:11:15,32.1
2022-09-05 20:11:20,32.1
2022-09-05 20:11:25,32.1
2022-09-05 20:11:30,32.1
2022-09-05 20:11:35,31.4
2022-09-05 20:11:40,31.4
2022-09-05 20:11:45,31.4
2022-09-05 20:11:50,31.4
2022-09-05 20:11:55,12.5
2022-09-05 20:12:00,12.5
2022-09-05 20:12:05,12.5
2022-09-05 20:12:10,12.5
2022-09-05 20:12:15,15.4
2022-09-05 20:12:20,15.4
2022-09-05 20:12:25,15.4
2022-09-05 20:12:30,15.4
2022-09-05 20:12:35,15.2
2022-09-05 20:12:40,15.2
2022-09-05 20:12:45,15.2
2022-09-05 20:12:50,15.2
2022-09-05 20:12:55,15.6
2022-09-05 20:13:00,15.6
2022-09-05 20:13:05,15.6
2022-09-05 20:13:10,15.6
2022-09-05 20:13:15,11.8
2022-09-05 20:13:20,11.8
2022-09-05 20:13:25,11.8
2022-09-05 20:13:30,11.8
2022-09-05 20:13:35,28.5
2022-09-05 20:13:40,28.5
2022-09-05 20:13:45,28.5
2022-09-05 20:13:50,28.5
2022-09-05 20:13:55,29.4
2022-09-05 20:14:00,29.4
2022-09-05 20:14:05,29.4
2022-09-05 20:14:10,29.4
2022-09-05 20:14:15,28.9
2022-09-05 20:14:20,28.9
2022-09-05 20:14:25,28.9
2022-09-05 20:14:30,28.9
2022-09-05 20:14:35,28.8
2022-09-05 20:14:40,28.8
2022-09-05 20:14:45,28.8
2022-09-05 20:14:50,28.8
