date,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED,infrastructure3-OPTIMIZED,infrastructure3-ENHANCED,infrastructure4-OPTIMIZED,infrastructure4-ENHANCED,infrastructure5-OPTIMIZED,infrastructure5-ENHANCED,infrastructure6-OPTIMIZED,infrastructure6-ENHANCED,infrastructure7-OPTIMIZED,infrastructure7-ENHANCED,infrastructure8-OPTIMIZED,infrastructure8-ENHANCED,infrastructure9-OPTIMIZED,infrastructure9-ENHANCED,infrastructure10-OPTIMIZED,infrastructure10-ENHANCED,infrastructure11-OPTIMIZED,infrastructure11-ENHANCED,infrastructure12-OPTIMIZED,infrastructure12-ENHANCED,infrastructure13-OPTIMIZED,infrastructure13-ENHANCED,infrastructure14-OPTIMIZED,infrastructure14-ENHANCED,infrastructure15-OPTIMIZED,infrastructure15-ENHANCED,infrastructure16-OPTIMIZED,infrastructure16-ENHANCED,infrastructure17-OPTIMIZED,infrastructure17-ENHANCED,infrastructure18-OPTIMIZED,infrastructure18-ENHANCED,infrastructure19-OPTIMIZED,infrastructure19-ENHANCED
2021-12-14 15:00:00 +0000 UTC,1321.425,231.800,1349.385,259.760,1601.537,729.837,1676.927,1023.152,1769.212,1115.437,1900.600,1246.825,1925.287,1271.512,2013.351,1577.501,2113.424,1677.574,2236.327,1800.477,2252.747,1816.897,2350.443,2132.518,2444.247,2226.322,2557.109,2339.184,2579.341,2361.416,2798.764,2798.764,2800.074,2800.074,2914.700,2914.700,2897.760,2897.760,3025.425,3025.425
2021-12-14 15:01:00 +0000 UTC,1321.425,231.800,1349.385,259.760,1601.537,729.837,1676.927,1023.152,1769.212,1115.437,1900.600,1246.825,1925.287,1271.512,2013.351,1577.501,2113.424,1677.574,2236.327,1800.477,2252.747,1816.897,2350.443,2132.518,2444.247,2226.322,2557.109,2339.184,2579.341,2361.416,2798.764,2798.764,2800.074,2800.074,2914.700,2914.700,2897.760,2897.760,3025.425,3025.425
2021-12-14 15:02:00 +0000 UTC,1321.425,231.800,1349.385,259.760,1601.537,729.837,1676.927,1023.152,1769.212,1115.437,1900.600,1246.825,1925.287,1271.512,2013.351,1577.501,2113.424,1677.574,2236.327,1800.477,2252.747,1816.897,2350.443,2132.518,2444.247,2226.322,2557.109,2339.184,2579.341,2361.416,2798.764,2798.764,2800.074,2800.074,2914.700,2914.700,2897.760,2897.760,3025.425,3025.425
2021-12-14 15:03:00 +0000 UTC,1321.425,231.800,1349.385,259.760,1601.537,729.837,1676.927,1023.152,1769.212,1115.437,1900.600,1246.825,1925.287,1271.512,2013.351,1577.501,2113.424,1677.574,2236.327,1800.477,2252.747,1816.897,2350.443,2132.518,2444.247,2226.322,2557.109,2339.184,2579.341,2361.416,2798.764,2798.764,2800.074,2800.074,2914.700,2914.700,2897.760,2897.760,3025.425,3025.425
2021-12-14 15:04:00 +0000 UTC,1321.425,231.800,1349.385,259.760,1601.537,729.837,1676.927,1023.152,1769.212,1115.437,1900.600,1246.825,1925.287,1271.512,2013.351,1577.501,2113.424,1677.574,2236.327,1800.477,2252.747,1816.897,2350.443,2132.518,2444.247,2226.322,2557.109,2339.184,2579.341,2361.416,2798.764,2798.764,2800.074,2800.074,2914.700,2914.700,2897.760,2897.760,3025.425,3025.425
2021-12-14 15:05:00 +0000 UTC,1321.425,231.800,1349.385,259.760,1601.537,729.837,1676.927,1023.152,1769.212,1115.437,1900.600,1246.825,1925.287,1271.512,2013.351,1577.501,2113.424,1677.574,2236.327,1800.477,2252.747,1816.897,2350.443,2132.518,2444.247,2226.322,2557.109,2339.184,2579.341,2361.416,2798.764,2798.764,2800.074,2800.074,2914.700,2914.700,2897.760,2897.760,3025.425,3025.425
2021-12-14 15:06:00 +0000 UTC,1321.425,231.800,1349.385,259.760,1601.537,729.837,1676.927,1023.152,1769.212,1115.437,1900.600,1246.825,1925.287,1271.512,2013.351,1577.501,2113.424,1677.574,2236.327,1800.477,2252.747,1816.897,2350.443,2132.518,2444.247,2226.322,2557.109,2339.184,2579.341,2361.416,2798.764,2798.764,2800.074,2800.074,2914.700,2914.700,2897.760,2897.760,3025.425,3025.425
2021-12-14 15:07:00 +0000 UTC,1321.425,231.800,1349.385,259.760,1601.537,729.837,1676.927,1023.152,1769.212,1115.437,1900.600,1246.825,1925.287,1271.512,2013.351,1577.501,2113.424,1677.574,2236.327,1800.477,2252.747,1816.897,2350.443,2132.518,2444.247,2226.322,2557.109,2339.184,2579.341,2361.416,2798.764,2798.764,2800.074,2800.074,2914.700,2914.700,2897.760,2897.760,3025.425,3025.425
2021-12-14 15:08:00 +0000 UTC,1321.425,231.800,1349.385,259.760,1601.537,729.837,1676.927,1023.152,1769.212,1115.437,1900.600,1246.825,1925.287,1271.512,2013.351,1577.501,2113.424,1677.574,2236.327,1800.477,2252.747,1816.897,2350.443,2132.518,2444.247,2226.322,2557.109,2339.184,2579.341,2361.416,2798.764,2798.764,2800.074,2800.074,2914.700,2914.700,2897.760,2897.760,3025.425,3025.425
2021-12-14 15:09:00 +0000 UTC,1321.425,231.800,1349.385,259.760,1601.537,729.837,1676.927,1023.152,1769.212,1115.437,1900.600,1246.825,1925.287,1271.512,2013.351,1577.501,2113.424,1677.574,2236.327,1800.477,2252.747,1816.897,2350.443,2132.518,2444.247,2226.322,2557.109,2339.184,2579.341,2361.416,2798.764,2798.764,2800.074,2800.074,2914.700,2914.700,2897.760,2897.760,3025.425,3025.425
