date,infrastructure0-BASIC,infrastructure0-ORIGINAL,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-BASIC,infrastructure1-ORIGINAL,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-BASIC,infrastructure2-ORIGINAL,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED,infrastructure3-BASIC,infrastructure3-ORIGINAL,infrastructure3-OPTIMIZED,infrastructure3-ENHANCED,infrastructure4-BASIC,infrastructure4-ORIGINAL,infrastructure4-OPTIMIZED,infrastructure4-ENHANCED,infrastructure5-BASIC,infrastructure5-ORIGINAL,infrastructure5-OPTIMIZED,infrastructure5-ENHANCED,infrastructure6-BASIC,infrastructure6-ORIGINAL,infrastructure6-OPTIMIZED,infrastructure6-ENHANCED,infrastructure7-BASIC,infrastructure7-ORIGINAL,infrastructure7-OPTIMIZED,infrastructure7-ENHANCED,infrastructure8-BASIC,infrastructure8-ORIGINAL,infrastructure8-OPTIMIZED,infrastructure8-ENHANCED,infrastructure9-BASIC,infrastructure9-ORIGINAL,infrastructure9-OPTIMIZED,infrastructure9-ENHANCED,infrastructure10-BASIC,infrastructure10-ORIGINAL,infrastructure10-OPTIMIZED,infrastructure10-ENHANCED,infrastructure11-BASIC,infrastructure11-ORIGINAL,infrastructure11-OPTIMIZED,infrastructure11-ENHANCED,infrastructure12-BASIC,infrastructure12-ORIGINAL,infrastructure12-OPTIMIZED,infrastructure12-ENHANCED,infrastructure13-BASIC,infrastructure13-ORIGINAL,infrastructure13-OPTIMIZED,infrastructure13-ENHANCED,infrastructure14-BASIC,infrastructure14-ORIGINAL,infrastructure14-OPTIMIZED,infrastructure14-ENHANCED,infrastructure15-BASIC,infrastructure15-ORIGINAL,infrastructure15-OPTIMIZED,infrastructure15-ENHANCED,infrastructure16-BASIC,infrastructure16-ORIGINAL,infrastructure16-OPTIMIZED,infrastructure16-ENHANCED,infrastructure17-BASIC,infrastructure17-ORIGINAL,infrastructure17-OPTIMIZED,infrastructure17-ENHANCED,infrastructure18-BASIC,infrastructure18-ORIGINAL,infrastructure18-OPTIMIZED,infrastructure18-ENHANCED,infrastructure19-BASIC,infrastructure19-ORIGINAL,infrastructure19-OPTIMIZED,infrastructure19-ENHANCED
2021-12-14 15:00:00 +0000 UTC,465.000,2423.840,2361.525,418.503,543.640,2502.480,2395.744,478.366,605.800,2564.640,2438.973,539.067,660.020,2618.860,2473.511,598.092,712.500,2671.340,2517.492,657.955,767.300,2726.140,2548.090,741.140,826.740,2785.580,2595.666,775.914,891.560,2850.400,2626.354,891.500,961.340,2920.180,2650.520,928.030,1034.660,2993.500,2708.800,957.270,1109.460,3068.300,2727.225,1109.460,1183.360,3142.200,2766.450,1183.360,1253.820,3212.660,2836.915,1253.820,1318.540,3277.380,2856.731,1318.540,1375.740,3334.580,2880.797,1375.740,1424.360,3383.200,2923.951,1424.360,1464.460,3423.300,3029.310,1464.460,1497.420,3456.260,3058.300,1497.420,1526.240,3485.080,3081.480,1526.240,1555.900,3514.740,3100.120,1555.900
2021-12-14 15:01:00 +0000 UTC,465.000,2423.840,2361.525,418.503,543.640,2502.480,2395.744,478.366,605.800,2564.640,2438.973,539.067,660.020,2618.860,2473.511,598.092,712.500,2671.340,2517.492,657.955,767.300,2726.140,2548.090,741.140,826.740,2785.580,2595.666,775.914,891.560,2850.400,2626.354,891.500,961.340,2920.180,2650.520,928.030,1034.660,2993.500,2708.800,957.270,1109.460,3068.300,2727.225,1109.460,1183.360,3142.200,2766.450,1183.360,1253.820,3212.660,2836.915,1253.820,1318.540,3277.380,2856.731,1318.540,1375.740,3334.580,2880.797,1375.740,1424.360,3383.200,2923.951,1424.360,1464.460,3423.300,3029.310,1464.460,1497.420,3456.260,3058.300,1497.420,1526.240,3485.080,3081.480,1526.240,1555.900,3514.740,3100.120,1555.900
2021-12-14 15:02:00 +0000 UTC,465.000,2423.840,2361.525,418.503,543.640,2502.480,2395.744,478.366,605.800,2564.640,2438.973,539.067,660.020,2618.860,2473.511,598.092,712.500,2671.340,2517.492,657.955,767.300,2726.140,2548.090,741.140,826.740,2785.580,2595.666,775.914,891.560,2850.400,2626.354,891.500,961.340,2920.180,2650.520,928.030,1034.660,2993.500,2708.800,957.270,1109.460,3068.300,2727.225,1109.460,1183.360,3142.200,2766.450,1183.360,1253.820,3212.660,2836.915,1253.820,1318.540,3277.380,2856.731,1318.540,1375.740,3334.580,2880.797,1375.740,1424.360,3383.200,2923.951,1424.360,1464.460,3423.300,3029.310,1464.460,1497.420,3456.260,3058.300,1497.420,1526.240,3485.080,3081.480,1526.240,1555.900,3514.740,3100.120,1555.900
2021-12-14 15:03:00 +0000 UTC,465.000,2423.840,2361.525,418.503,543.640,2502.480,2395.744,478.366,605.800,2564.640,2438.973,539.067,660.020,2618.860,2473.511,598.092,712.500,2671.340,2517.492,657.955,767.300,2726.140,2548.090,741.140,826.740,2785.580,2595.666,775.914,891.560,2850.400,2626.354,891.500,961.340,2920.180,2650.520,928.030,1034.660,2993.500,2708.800,957.270,1109.460,3068.300,2727.225,1109.460,1183.360,3142.200,2766.450,1183.360,1253.820,3212.660,2836.915,1253.820,1318.540,3277.380,2856.731,1318.540,1375.740,3334.580,2880.797,1375.740,1424.360,3383.200,2923.951,1424.360,1464.460,3423.300,3029.310,1464.460,1497.420,3456.260,3058.300,1497.420,1526.240,3485.080,3081.480,1526.240,1555.900,3514.740,3100.120,1555.900
2021-12-14 15:04:00 +0000 UTC,465.000,2423.840,2361.525,418.503,543.640,2502.480,2395.744,478.366,605.800,2564.640,2438.973,539.067,660.020,2618.860,2473.511,598.092,712.500,2671.340,2517.492,657.955,767.300,2726.140,2548.090,741.140,826.740,2785.580,2595.666,775.914,891.560,2850.400,2626.354,891.500,961.340,2920.180,2650.520,928.030,1034.660,2993.500,2708.800,957.270,1109.460,3068.300,2727.225,1109.460,1183.360,3142.200,2766.450,1183.360,1253.820,3212.660,2836.915,1253.820,1318.540,3277.380,2856.731,1318.540,1375.740,3334.580,2880.797,1375.740,1424.360,3383.200,2923.951,1424.360,1464.460,3423.300,3029.310,1464.460,1497.420,3456.260,3058.300,1497.420,1526.240,3485.080,3081.480,1526.240,1555.900,3514.740,3100.120,1555.900
2021-12-14 15:05:00 +0000 UTC,465.000,2423.840,2361.525,418.503,543.640,2502.480,2395.744,478.366,605.800,2564.640,2438.973,539.067,660.020,2618.860,2473.511,598.092,712.500,2671.340,2517.492,657.955,767.300,2726.140,2548.090,741.140,826.740,2785.580,2595.666,775.914,891.560,2850.400,2626.354,891.500,961.340,2920.180,2650.520,928.030,1034.660,2993.500,2708.800,957.270,1109.460,3068.300,2727.225,1109.460,1183.360,3142.200,2766.450,1183.360,1253.820,3212.660,2836.915,1253.820,1318.540,3277.380,2856.731,1318.540,1375.740,3334.580,2880.797,1375.740,1424.360,3383.200,2923.951,1424.360,1464.460,3423.300,3029.310,1464.460,1497.420,3456.260,3058.300,1497.420,1526.240,3485.080,3081.480,1526.240,1555.900,3514.740,3100.120,1555.900
2021-12-14 15:06:00 +0000 UTC,465.000,2423.840,2361.525,418.503,543.640,2502.480,2395.744,478.366,605.800,2564.640,2438.973,539.067,660.020,2618.860,2473.511,598.092,712.500,2671.340,2517.492,657.955,767.300,2726.140,2548.090,741.140,826.740,2785.580,2595.666,775.914,891.560,2850.400,2626.354,891.500,961.340,2920.180,2650.520,928.030,1034.660,2993.500,2708.800,957.270,1109.460,3068.300,2727.225,1109.460,1183.360,3142.200,2766.450,1183.360,1253.820,3212.660,2836.915,1253.820,1318.540,3277.380,2856.731,1318.540,1375.740,3334.580,2880.797,1375.740,1424.360,3383.200,2923.951,1424.360,1464.460,3423.300,3029.310,1464.460,1497.420,3456.260,3058.300,1497.420,1526.240,3485.080,3081.480,1526.240,1555.900,3514.740,3100.120,1555.900
2021-12-14 15:07:00 +0000 UTC,465.000,2423.840,2361.525,418.503,543.640,2502.480,2395.744,478.366,605.800,2564.640,2438.973,539.067,660.020,2618.860,2473.511,598.092,712.500,2671.340,2517.492,657.955,767.300,2726.140,2548.090,741.140,826.740,2785.580,2595.666,775.914,891.560,2850.400,2626.354,891.500,961.340,2920.180,2650.520,928.030,1034.660,2993.500,2708.800,957.270,1109.460,3068.300,2727.225,1109.460,1183.360,3142.200,2766.450,1183.360,1253.820,3212.660,2836.915,1253.820,1318.540,3277.380,2856.731,1318.540,1375.740,3334.580,2880.797,1375.740,1424.360,3383.200,2923.951,1424.360,1464.460,3423.300,3029.310,1464.460,1497.420,3456.260,3058.300,1497.420,1526.240,3485.080,3081.480,1526.240,1555.900,3514.740,3100.120,1555.900
2021-12-14 15:08:00 +0000 UTC,465.000,2423.840,2361.525,418.503,543.640,2502.480,2395.744,478.366,605.800,2564.640,2438.973,539.067,660.020,2618.860,2473.511,598.092,712.500,2671.340,2517.492,657.955,767.300,2726.140,2548.090,741.140,826.740,2785.580,2595.666,775.914,891.560,2850.400,2626.354,891.500,961.340,2920.180,2650.520,928.030,1034.660,2993.500,2708.800,957.270,1109.460,3068.300,2727.225,1109.460,1183.360,3142.200,2766.450,1183.360,1253.820,3212.660,2836.915,1253.820,1318.540,3277.380,2856.731,1318.540,1375.740,3334.580,2880.797,1375.740,1424.360,3383.200,2923.951,1424.360,1464.460,3423.300,3029.310,1464.460,1497.420,3456.260,3058.300,1497.420,1526.240,3485.080,3081.480,1526.240,1555.900,3514.740,3100.120,1555.900
2021-12-14 15:09:00 +0000 UTC,465.000,2423.840,2361.525,418.503,543.640,2502.480,2395.744,478.366,605.800,2564.640,2438.973,539.067,660.020,2618.860,2473.511,598.092,712.500,2671.340,2517.492,657.955,767.300,2726.140,2548.090,741.140,826.740,2785.580,2595.666,775.914,891.560,2850.400,2626.354,891.500,961.340,2920.180,2650.520,928.030,1034.660,2993.500,2708.800,957.270,1109.460,3068.300,2727.225,1109.460,1183.360,3142.200,2766.450,1183.360,1253.820,3212.660,2836.915,1253.820,1318.540,3277.380,2856.731,1318.540,1375.740,3334.580,2880.797,1375.740,1424.360,3383.200,2923.951,1424.360,1464.460,3423.300,3029.310,1464.460,1497.420,3456.260,3058.300,1497.420,1526.240,3485.080,3081.480,1526.240,1555.900,3514.740,3100.120,1555.900
