date,infrastructure0-BASIC,infrastructure0-ORIGINAL,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-BASIC,infrastructure1-ORIGINAL,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-BASIC,infrastructure2-ORIGINAL,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED
2021-12-14 15:00:00 +0000 UTC,328.350,1468.270,1511.627,639.691,492.945,1632.865,1603.241,731.305,602.790,1742.710,1696.025,824.089
2021-12-14 15:01:00 +0000 UTC,328.350,1468.270,1511.627,639.691,492.945,1632.865,1603.241,731.305,602.790,1742.710,1696.025,824.089
2021-12-14 15:02:00 +0000 UTC,328.350,1468.270,1511.627,639.691,492.945,1632.865,1603.241,731.305,602.790,1742.710,1696.025,824.089
2021-12-14 15:03:00 +0000 UTC,328.350,1468.270,1511.627,639.691,492.945,1632.865,1603.241,731.305,602.790,1742.710,1696.025,824.089
2021-12-14 15:04:00 +0000 UTC,328.350,1468.270,1511.627,639.691,492.945,1632.865,1603.241,731.305,602.790,1742.710,1696.025,824.089
2021-12-14 15:05:00 +0000 UTC,328.350,1468.270,1511.627,639.691,492.945,1632.865,1603.241,731.305,602.790,1742.710,1696.025,824.089
2021-12-14 15:06:00 +0000 UTC,328.350,1468.270,1511.627,639.691,492.945,1632.865,1603.241,731.305,602.790,1742.710,1696.025,824.089
2021-12-14 15:07:00 +0000 UTC,328.350,1468.270,1511.627,639.691,492.945,1632.865,1603.241,731.305,602.790,1742.710,1696.025,824.089
2021-12-14 15:08:00 +0000 UTC,328.350,1468.270,1511.627,639.691,492.945,1632.865,1603.241,731.305,602.790,1742.710,1696.025,824.089
2021-12-14 15:09:00 +0000 UTC,328.350,1468.270,1511.627,639.691,492.945,1632.865,1603.241,731.305,602.790,1742.710,1696.025,824.089
