date,infrastructure0-BASIC,infrastructure0-ORIGINAL,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-BASIC,infrastructure1-ORIGINAL,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-BASIC,infrastructure2-ORIGINAL,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED,infrastructure3-BASIC,infrastructure3-ORIGINAL,infrastructure3-OPTIMIZED,infrastructure3-ENHANCED,infrastructure4-BASIC,infrastructure4-ORIGINAL,infrastructure4-OPTIMIZED,infrastructure4-ENHANCED,infrastructure5-BASIC,infrastructure5-ORIGINAL,infrastructure5-OPTIMIZED,infrastructure5-ENHANCED,infrastructure6-BASIC,infrastructure6-ORIGINAL,infrastructure6-OPTIMIZED,infrastructure6-ENHANCED,infrastructure7-BASIC,infrastructure7-ORIGINAL,infrastructure7-OPTIMIZED,infrastructure7-ENHANCED,infrastructure8-BASIC,infrastructure8-ORIGINAL,infrastructure8-OPTIMIZED,infrastructure8-ENHANCED,infrastructure9-BASIC,infrastructure9-ORIGINAL,infrastructure9-OPTIMIZED,infrastructure9-ENHANCED,infrastructure10-BASIC,infrastructure10-ORIGINAL,infrastructure10-OPTIMIZED,infrastructure10-ENHANCED,infrastructure11-BASIC,infrastructure11-ORIGINAL,infrastructure11-OPTIMIZED,infrastructure11-ENHANCED,infrastructure12-BASIC,infrastructure12-ORIGINAL,infrastructure12-OPTIMIZED,infrastructure12-ENHANCED,infrastructure13-BASIC,infrastructure13-ORIGINAL,infrastructure13-OPTIMIZED,infrastructure13-ENHANCED,infrastructure14-BASIC,infrastructure14-ORIGINAL,infrastructure14-OPTIMIZED,infrastructure14-ENHANCED,infrastructure15-BASIC,infrastructure15-ORIGINAL,infrastructure15-OPTIMIZED,infrastructure15-ENHANCED,infrastructure16-BASIC,infrastructure16-ORIGINAL,infrastructure16-OPTIMIZED,infrastructure16-ENHANCED,infrastructure17-BASIC,infrastructure17-ORIGINAL,infrastructure17-OPTIMIZED,infrastructure17-ENHANCED,infrastructure18-BASIC,infrastructure18-ORIGINAL,infrastructure18-OPTIMIZED,infrastructure18-ENHANCED,infrastructure19-BASIC,infrastructure19-ORIGINAL,infrastructure19-OPTIMIZED,infrastructure19-ENHANCED
2021-12-14 15:00:00 +0000 UTC,409.360,1215.560,1204.110,397.910,437.020,1243.220,1228.980,422.780,462.280,1268.480,1259.628,534.048,489.260,1295.460,1278.720,472.520,520.380,1326.580,1303.590,497.390,556.440,1362.640,1339.072,573.182,597.060,1403.260,1364.750,760.100,640.920,1447.120,1400.957,836.617,686.000,1492.200,1417.461,853.121,729.920,1536.120,1427.940,621.740,770.180,1576.380,1497.320,1094.220,804.460,1610.660,1508.360,1105.260,830.940,1637.140,1525.210,1122.110,848.520,1654.720,1550.260,1147.160,857.100,1663.300,1586.110,1183.010,857.940,1664.140,1635.580,1232.480,853.880,1660.080,1660.080,853.880,849.620,1655.820,1655.820,849.620,852.020,1658.220,1658.220,852.020,870.440,1676.640,1676.640,870.440
2021-12-14 15:01:00 +0000 UTC,409.360,1215.560,1204.110,397.910,437.020,1243.220,1228.980,422.780,462.280,1268.480,1259.628,534.048,489.260,1295.460,1278.720,472.520,520.380,1326.580,1303.590,497.390,556.440,1362.640,1339.072,573.182,597.060,1403.260,1364.750,760.100,640.920,1447.120,1400.957,836.617,686.000,1492.200,1417.461,853.121,729.920,1536.120,1427.940,621.740,770.180,1576.380,1497.320,1094.220,804.460,1610.660,1508.360,1105.260,830.940,1637.140,1525.210,1122.110,848.520,1654.720,1550.260,1147.160,857.100,1663.300,1586.110,1183.010,857.940,1664.140,1635.580,1232.480,853.880,1660.080,1660.080,853.880,849.620,1655.820,1655.820,849.620,852.020,1658.220,1658.220,852.020,870.440,1676.640,1676.640,870.440
2021-12-14 15:02:00 +0000 UTC,409.360,1215.560,1204.110,397.910,437.020,1243.220,1228.980,422.780,462.280,1268.480,1259.628,534.048,489.260,1295.460,1278.720,472.520,520.380,1326.580,1303.590,497.390,556.440,1362.640,1339.072,573.182,597.060,1403.260,1364.750,760.100,640.920,1447.120,1400.957,836.617,686.000,1492.200,1417.461,853.121,729.920,1536.120,1427.940,621.740,770.180,1576.380,1497.320,1094.220,804.460,1610.660,1508.360,1105.260,830.940,1637.140,1525.210,1122.110,848.520,1654.720,1550.260,1147.160,857.100,1663.300,1586.110,1183.010,857.940,1664.140,1635.580,1232.480,853.880,1660.080,1660.080,853.880,849.620,1655.820,1655.820,849.620,852.020,1658.220,1658.220,852.020,870.440,1676.640,1676.640,870.440
2021-12-14 15:03:00 +0000 UTC,409.360,1215.560,1204.110,397.910,437.020,1243.220,1228.980,422.780,462.280,1268.480,1259.628,534.048,489.260,1295.460,1278.720,472.520,520.380,1326.580,1303.590,497.390,556.440,1362.640,1339.072,573.182,597.060,1403.260,1364.750,760.100,640.920,1447.120,1400.957,836.617,686.000,1492.200,1417.461,853.121,729.920,1536.120,1427.940,621.740,770.180,1576.380,1497.320,1094.220,804.460,1610.660,1508.360,1105.260,830.940,1637.140,1525.210,1122.110,848.520,1654.720,1550.260,1147.160,857.100,1663.300,1586.110,1183.010,857.940,1664.140,1635.580,1232.480,853.880,1660.080,1660.080,853.880,849.620,1655.820,1655.820,849.620,852.020,1658.220,1658.220,852.020,870.440,1676.640,1676.640,870.440
2021-12-14 15:04:00 +0000 UTC,409.360,1215.560,1204.110,397.910,437.020,1243.220,1228.980,422.780,462.280,1268.480,1259.628,534.048,489.260,1295.460,1278.720,472.520,520.380,1326.580,1303.590,497.390,556.440,1362.640,1339.072,573.182,597.060,1403.260,1364.750,760.100,640.920,1447.120,1400.957,836.617,686.000,1492.200,1417.461,853.121,729.920,1536.120,1427.940,621.740,770.180,1576.380,1497.320,1094.220,804.460,1610.660,1508.360,1105.260,830.940,1637.140,1525.210,1122.110,848.520,1654.720,1550.260,1147.160,857.100,1663.300,1586.110,1183.010,857.940,1664.140,1635.580,1232.480,853.880,1660.080,1660.080,853.880,849.620,1655.820,1655.820,849.620,852.020,1658.220,1658.220,852.020,870.440,1676.640,1676.640,870.440
2021-12-14 15:05:00 +0000 UTC,409.360,1215.560,1204.110,397.910,437.020,1243.220,1228.980,422.780,462.280,1268.480,1259.628,534.048,489.260,1295.460,1278.720,472.520,520.380,1326.580,1303.590,497.390,556.440,1362.640,1339.072,573.182,597.060,1403.260,1364.750,760.100,640.920,1447.120,1400.957,836.617,686.000,1492.200,1417.461,853.121,729.920,1536.120,1427.940,621.740,770.180,1576.380,1497.320,1094.220,804.460,1610.660,1508.360,1105.260,830.940,1637.140,1525.210,1122.110,848.520,1654.720,1550.260,1147.160,857.100,1663.300,1586.110,1183.010,857.940,1664.140,1635.580,1232.480,853.880,1660.080,1660.080,853.880,849.620,1655.820,1655.820,849.620,852.020,1658.220,1658.220,852.020,870.440,1676.640,1676.640,870.440
2021-12-14 15:06:00 +0000 UTC,409.360,1215.560,1204.110,397.910,437.020,1243.220,1228.980,422.780,462.280,1268.480,1259.628,534.048,489.260,1295.460,1278.720,472.520,520.380,1326.580,1303.590,497.390,556.440,1362.640,1339.072,573.182,597.060,1403.260,1364.750,760.100,640.920,1447.120,1400.957,836.617,686.000,1492.200,1417.461,853.121,729.920,1536.120,1427.940,621.740,770.180,1576.380,1497.320,1094.220,804.460,1610.660,1508.360,1105.260,830.940,1637.140,1525.210,1122.110,848.520,1654.720,1550.260,1147.160,857.100,1663.300,1586.110,1183.010,857.940,1664.140,1635.580,1232.480,853.880,1660.080,1660.080,853.880,849.620,1655.820,1655.820,849.620,852.020,1658.220,1658.220,852.020,870.440,1676.640,1676.640,870.440
2021-12-14 15:07:00 +0000 UTC,409.360,1215.560,1204.110,397.910,437.020,1243.220,1228.980,422.780,462.280,1268.480,1259.628,534.048,489.260,1295.460,1278.720,472.520,520.380,1326.580,1303.590,497.390,556.440,1362.640,1339.072,573.182,597.060,1403.260,1364.750,760.100,640.920,1447.120,1400.957,836.617,686.000,1492.200,1417.461,853.121,729.920,1536.120,1427.940,621.740,770.180,1576.380,1497.320,1094.220,804.460,1610.660,1508.360,1105.260,830.940,1637.140,1525.210,1122.110,848.520,1654.720,1550.260,1147.160,857.100,1663.300,1586.110,1183.010,857.940,1664.140,1635.580,1232.480,853.880,1660.080,1660.080,853.880,849.620,1655.820,1655.820,849.620,852.020,1658.220,1658.220,852.020,870.440,1676.640,1676.640,870.440
2021-12-14 15:08:00 +0000 UTC,409.360,1215.560,1204.110,397.910,437.020,1243.220,1228.980,422.780,462.280,1268.480,1259.628,534.048,489.260,1295.460,1278.720,472.520,520.380,1326.580,1303.590,497.390,556.440,1362.640,1339.072,573.182,597.060,1403.260,1364.750,760.100,640.920,1447.120,1400.957,836.617,686.000,1492.200,1417.461,853.121,729.920,1536.120,1427.940,621.740,770.180,1576.380,1497.320,1094.220,804.460,1610.660,1508.360,1105.260,830.940,1637.140,1525.210,1122.110,848.520,1654.720,1550.260,1147.160,857.100,1663.300,1586.110,1183.010,857.940,1664.140,1635.580,1232.480,853.880,1660.080,1660.080,853.880,849.620,1655.820,1655.820,849.620,852.020,1658.220,1658.220,852.020,870.440,1676.640,1676.640,870.440
2021-12-14 15:09:00 +0000 UTC,409.360,1215.560,1204.110,397.910,437.020,1243.220,1228.980,422.780,462.280,1268.480,1259.628,534.048,489.260,1295.460,1278.720,472.520,520.380,1326.580,1303.590,497.390,556.440,1362.640,1339.072,573.182,597.060,1403.260,1364.750,760.100,640.920,1447.120,1400.957,836.617,686.000,1492.200,1417.461,853.121,729.920,1536.120,1427.940,621.740,770.180,1576.380,1497.320,1094.220,804.460,1610.660,1508.360,1105.260,830.940,1637.140,1525.210,1122.110,848.520,1654.720,1550.260,1147.160,857.100,1663.300,1586.110,1183.010,857.940,1664.140,1635.580,1232.480,853.880,1660.080,1660.080,853.880,849.620,1655.820,1655.820,849.620,852.020,1658.220,1658.220,852.020,870.440,1676.640,1676.640,870.440
