date,infrastructure0-BASIC,infrastructure0-ORIGINAL,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-BASIC,infrastructure1-ORIGINAL,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-BASIC,infrastructure2-ORIGINAL,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED,infrastructure3-BASIC,infrastructure3-ORIGINAL,infrastructure3-OPTIMIZED,infrastructure3-ENHANCED,infrastructure4-BASIC,infrastructure4-ORIGINAL,infrastructure4-OPTIMIZED,infrastructure4-ENHANCED,infrastructure5-BASIC,infrastructure5-ORIGINAL,infrastructure5-OPTIMIZED,infrastructure5-ENHANCED,infrastructure6-BASIC,infrastructure6-ORIGINAL,infrastructure6-OPTIMIZED,infrastructure6-ENHANCED,infrastructure7-BASIC,infrastructure7-ORIGINAL,infrastructure7-OPTIMIZED,infrastructure7-ENHANCED,infrastructure8-BASIC,infrastructure8-ORIGINAL,infrastructure8-OPTIMIZED,infrastructure8-ENHANCED,infrastructure9-BASIC,infrastructure9-ORIGINAL,infrastructure9-OPTIMIZED,infrastructure9-ENHANCED,infrastructure10-BASIC,infrastructure10-ORIGINAL,infrastructure10-OPTIMIZED,infrastructure10-ENHANCED,infrastructure11-BASIC,infrastructure11-ORIGINAL,infrastructure11-OPTIMIZED,infrastructure11-ENHANCED,infrastructure12-BASIC,infrastructure12-ORIGINAL,infrastructure12-OPTIMIZED,infrastructure12-ENHANCED,infrastructure13-BASIC,infrastructure13-ORIGINAL,infrastructure13-OPTIMIZED,infrastructure13-ENHANCED,infrastructure14-BASIC,infrastructure14-ORIGINAL,infrastructure14-OPTIMIZED,infrastructure14-ENHANCED,infrastructure15-BASIC,infrastructure15-ORIGINAL,infrastructure15-OPTIMIZED,infrastructure15-ENHANCED,infrastructure16-BASIC,infrastructure16-ORIGINAL,infrastructure16-OPTIMIZED,infrastructure16-ENHANCED,infrastructure17-BASIC,infrastructure17-ORIGINAL,infrastructure17-OPTIMIZED,infrastructure17-ENHANCED,infrastructure18-BASIC,infrastructure18-ORIGINAL,infrastructure18-OPTIMIZED,infrastructure18-ENHANCED,infrastructure19-BASIC,infrastructure19-ORIGINAL,infrastructure19-OPTIMIZED,infrastructure19-ENHANCED
2021-12-14 15:00:00 +0000 UTC,557.865,1697.785,1885.381,1013.445,766.150,1906.070,1994.634,1122.698,971.705,2111.625,2078.614,1206.678,1150.205,2290.125,2088.315,1216.379,1293.950,2433.870,2147.254,1275.318,1406.510,2546.430,2269.010,1390.820,1497.755,2637.675,2377.993,1485.993,1580.180,2720.100,2397.302,1645.685,1665.545,2805.465,2436.915,1728.635,1762.705,2902.625,2574.440,1801.107,1876.140,3016.060,2664.788,2005.068,2005.115,3145.035,2722.097,2118.327,2143.960,3283.880,2741.649,2305.681,2283.015,3422.935,2828.348,2389.451,2410.240,3550.160,2977.726,2548.386,2513.875,3653.795,3049.066,2733.417,2585.800,3725.720,3048.048,2740.392,2625.700,3765.620,3239.602,2760.616,2646.035,3785.955,3234.676,2772.915,2677.990,3817.910,3381.075,2858.607
2021-12-14 15:01:00 +0000 UTC,557.865,1697.785,1885.381,1013.445,766.150,1906.070,1994.634,1122.698,971.705,2111.625,2078.614,1206.678,1150.205,2290.125,2088.315,1216.379,1293.950,2433.870,2147.254,1275.318,1406.510,2546.430,2269.010,1390.820,1497.755,2637.675,2377.993,1485.993,1580.180,2720.100,2397.302,1645.685,1665.545,2805.465,2436.915,1728.635,1762.705,2902.625,2574.440,1801.107,1876.140,3016.060,2664.788,2005.068,2005.115,3145.035,2722.097,2118.327,2143.960,3283.880,2741.649,2305.681,2283.015,3422.935,2828.348,2389.451,2410.240,3550.160,2977.726,2548.386,2513.875,3653.795,3049.066,2733.417,2585.800,3725.720,3048.048,2740.392,2625.700,3765.620,3239.602,2760.616,2646.035,3785.955,3234.676,2772.915,2677.990,3817.910,3381.075,2858.607
2021-12-14 15:02:00 +0000 UTC,557.865,1697.785,1885.381,1013.445,766.150,1906.070,1994.634,1122.698,971.705,2111.625,2078.614,1206.678,1150.205,2290.125,2088.315,1216.379,1293.950,2433.870,2147.254,1275.318,1406.510,2546.430,2269.010,1390.820,1497.755,2637.675,2377.993,1485.993,1580.180,2720.100,2397.302,1645.685,1665.545,2805.465,2436.915,1728.635,1762.705,2902.625,2574.440,1801.107,1876.140,3016.060,2664.788,2005.068,2005.115,3145.035,2722.097,2118.327,2143.960,3283.880,2741.649,2305.681,2283.015,3422.935,2828.348,2389.451,2410.240,3550.160,2977.726,2548.386,2513.875,3653.795,3049.066,2733.417,2585.800,3725.720,3048.048,2740.392,2625.700,3765.620,3239.602,2760.616,2646.035,3785.955,3234.676,2772.915,2677.990,3817.910,3381.075,2858.607
2021-12-14 15:03:00 +0000 UTC,557.865,1697.785,1885.381,1013.445,766.150,1906.070,1994.634,1122.698,971.705,2111.625,2078.614,1206.678,1150.205,2290.125,2088.315,1216.379,1293.950,2433.870,2147.254,1275.318,1406.510,2546.430,2269.010,1390.820,1497.755,2637.675,2377.993,1485.993,1580.180,2720.100,2397.302,1645.685,1665.545,2805.465,2436.915,1728.635,1762.705,2902.625,2574.440,1801.107,1876.140,3016.060,2664.788,2005.068,2005.115,3145.035,2722.097,2118.327,2143.960,3283.880,2741.649,2305.681,2283.015,3422.935,2828.348,2389.451,2410.240,3550.160,2977.726,2548.386,2513.875,3653.795,3049.066,2733.417,2585.800,3725.720,3048.048,2740.392,2625.700,3765.620,3239.602,2760.616,2646.035,3785.955,3234.676,2772.915,2677.990,3817.910,3381.075,2858.607
2021-12-14 15:04:00 +0000 UTC,557.865,1697.785,1885.381,1013.445,766.150,1906.070,1994.634,1122.698,971.705,2111.625,2078.614,1206.678,1150.205,2290.125,2088.315,1216.379,1293.950,2433.870,2147.254,1275.318,1406.510,2546.430,2269.010,1390.820,1497.755,2637.675,2377.993,1485.993,1580.180,2720.100,2397.302,1645.685,1665.545,2805.465,2436.915,1728.635,1762.705,2902.625,2574.440,1801.107,1876.140,3016.060,2664.788,2005.068,2005.115,3145.035,2722.097,2118.327,2143.960,3283.880,2741.649,2305.681,2283.015,3422.935,2828.348,2389.451,2410.240,3550.160,2977.726,2548.386,2513.875,3653.795,3049.066,2733.417,2585.800,3725.720,3048.048,2740.392,2625.700,3765.620,3239.602,2760.616,2646.035,3785.955,3234.676,2772.915,2677.990,3817.910,3381.075,2858.607
2021-12-14 15:05:00 +0000 UTC,557.865,1697.785,1885.381,1013.445,766.150,1906.070,1994.634,1122.698,971.705,2111.625,2078.614,1206.678,1150.205,2290.125,2088.315,1216.379,1293.950,2433.870,2147.254,1275.318,1406.510,2546.430,2269.010,1390.820,1497.755,2637.675,2377.993,1485.993,1580.180,2720.100,2397.302,1645.685,1665.545,2805.465,2436.915,1728.635,1762.705,2902.625,2574.440,1801.107,1876.140,3016.060,2664.788,2005.068,2005.115,3145.035,2722.097,2118.327,2143.960,3283.880,2741.649,2305.681,2283.015,3422.935,2828.348,2389.451,2410.240,3550.160,2977.726,2548.386,2513.875,3653.795,3049.066,2733.417,2585.800,3725.720,3048.048,2740.392,2625.700,3765.620,3239.602,2760.616,2646.035,3785.955,3234.676,2772.915,2677.990,3817.910,3381.075,2858.607
2021-12-14 15:06:00 +0000 UTC,557.865,1697.785,1885.381,1013.445,766.150,1906.070,1994.634,1122.698,971.705,2111.625,2078.614,1206.678,1150.205,2290.125,2088.315,1216.379,1293.950,2433.870,2147.254,1275.318,1406.510,2546.430,2269.010,1390.820,1497.755,2637.675,2377.993,1485.993,1580.180,2720.100,2397.302,1645.685,1665.545,2805.465,2436.915,1728.635,1762.705,2902.625,2574.440,1801.107,1876.140,3016.060,2664.788,2005.068,2005.115,3145.035,2722.097,2118.327,2143.960,3283.880,2741.649,2305.681,2283.015,3422.935,2828.348,2389.451,2410.240,3550.160,2977.726,2548.386,2513.875,3653.795,3049.066,2733.417,2585.800,3725.720,3048.048,2740.392,2625.700,3765.620,3239.602,2760.616,2646.035,3785.955,3234.676,2772.915,2677.990,3817.910,3381.075,2858.607
2021-12-14 15:07:00 +0000 UTC,557.865,1697.785,1885.381,1013.445,766.150,1906.070,1994.634,1122.698,971.705,2111.625,2078.614,1206.678,1150.205,2290.125,2088.315,1216.379,1293.950,2433.870,2147.254,1275.318,1406.510,2546.430,2269.010,1390.820,1497.755,2637.675,2377.993,1485.993,1580.180,2720.100,2397.302,1645.685,1665.545,2805.465,2436.915,1728.635,1762.705,2902.625,2574.440,1801.107,1876.140,3016.060,2664.788,2005.068,2005.115,3145.035,2722.097,2118.327,2143.960,3283.880,2741.649,2305.681,2283.015,3422.935,2828.348,2389.451,2410.240,3550.160,2977.726,2548.386,2513.875,3653.795,3049.066,2733.417,2585.800,3725.720,3048.048,2740.392,2625.700,3765.620,3239.602,2760.616,2646.035,3785.955,3234.676,2772.915,2677.990,3817.910,3381.075,2858.607
2021-12-14 15:08:00 +0000 UTC,557.865,1697.785,1885.381,1013.445,766.150,1906.070,1994.634,1122.698,971.705,2111.625,2078.614,1206.678,1150.205,2290.125,2088.315,1216.379,1293.950,2433.870,2147.254,1275.318,1406.510,2546.430,2269.010,1390.820,1497.755,2637.675,2377.993,1485.993,1580.180,2720.100,2397.302,1645.685,1665.545,2805.465,2436.915,1728.635,1762.705,2902.625,2574.440,1801.107,1876.140,3016.060,2664.788,2005.068,2005.115,3145.035,2722.097,2118.327,2143.960,3283.880,2741.649,2305.681,2283.015,3422.935,2828.348,2389.451,2410.240,3550.160,2977.726,2548.386,2513.875,3653.795,3049.066,2733.417,2585.800,3725.720,3048.048,2740.392,2625.700,3765.620,3239.602,2760.616,2646.035,3785.955,3234.676,2772.915,2677.990,3817.910,3381.075,2858.607
2021-12-14 15:09:00 +0000 UTC,557.865,1697.785,1885.381,1013.445,766.150,1906.070,1994.634,1122.698,971.705,2111.625,2078.614,1206.678,1150.205,2290.125,2088.315,1216.379,1293.950,2433.870,2147.254,1275.318,1406.510,2546.430,2269.010,1390.820,1497.755,2637.675,2377.993,1485.993,1580.180,2720.100,2397.302,1645.685,1665.545,2805.465,2436.915,1728.635,1762.705,2902.625,2574.440,1801.107,1876.140,3016.060,2664.788,2005.068,2005.115,3145.035,2722.097,2118.327,2143.960,3283.880,2741.649,2305.681,2283.015,3422.935,2828.348,2389.451,2410.240,3550.160,2977.726,2548.386,2513.875,3653.795,3049.066,2733.417,2585.800,3725.720,3048.048,2740.392,2625.700,3765.620,3239.602,2760.616,2646.035,3785.955,3234.676,2772.915,2677.990,3817.910,3381.075,2858.607
